21:07:03.652 leos [main] [] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'leosApiAuthenticationProvider' with a different definition: replacing [Generic bean: class [eu.europa.ec.leos.api.auth.LeosApiAuthenticationProvider]; scope=singleton; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/C:/Users/Ignas/Desktop/LEOS-Pilot_3.1.0/modules/web/target/leos-web-os/WEB-INF/lib/leos-security-3.1.0.jar!/eu/europa/ec/leos/api/auth/LeosApiAuthenticationProvider.class]] with [Generic bean: class [eu.europa.ec.leos.api.auth.LeosApiAuthenticationProvider]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [eu/europa/ec/leos/securityContext-common.xml]]
21:07:03.657 leos [main] [] INFO  o.s.s.c.m.GlobalMethodSecurityBeanDefinitionParser - Using bean 'expressionHandler' as method ExpressionHandler implementation
21:07:03.675 leos [main] [] INFO  o.s.s.c.h.HttpSecurityBeanDefinitionParser - Checking sorted filter chain: [Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 200, Root bean: class [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 400, Root bean: class [org.springframework.security.web.header.HeaderWriterFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 500, <jeePreAuthenticatedFilter>, order = 1001, Root bean: class [org.springframework.security.web.savedrequest.RequestCacheAwareFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1700, Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.security.config.http.HttpConfigurationBuilder$SecurityContextHolderAwareRequestFilterBeanFactory#1; factoryMethodName=getBean; initMethodName=null; destroyMethodName=null, order = 1800, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2100, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2300, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#1>, order = 2400]
21:07:03.677 leos [main] [] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'leosSecurityUserService' with a different definition: replacing [Generic bean: class [eu.europa.ec.leos.security.LeosSecurityUserService]; scope=singleton; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/C:/Users/Ignas/Desktop/LEOS-Pilot_3.1.0/modules/web/target/leos-web-os/WEB-INF/lib/leos-security-preauth-3.1.0.jar!/eu/europa/ec/leos/security/LeosSecurityUserService.class]] with [Generic bean: class [eu.europa.ec.leos.security.LeosSecurityUserService]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [eu/europa/ec/leos/securityContext.xml]]
21:07:04.717 leos [main] [] WARN  o.s.c.a.ConfigurationClassPostProcessor - Cannot enhance @Configuration bean definition 'com.vaadin.spring.VaadinConfiguration#0' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
21:07:05.030 leos [main] [] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
21:07:05.138 leos [main] [] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 
21:07:05.138 leos [main] [] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'defaultSimpleAsyncTaskExecutor' of type [org.springframework.scheduling.config.TaskExecutorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:05.139 leos [main] [] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'defaultSimpleAsyncTaskExecutor' of type [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:05.158 leos [main] [] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'delegatingSecurityContextAsyncTaskExecutor' of type [org.springframework.security.task.DelegatingSecurityContextAsyncTaskExecutor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:05.219 leos [main] [] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService  'taskScheduler'
21:07:05.220 leos [main] [] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'taskScheduler' of type [org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:05.285 leos [main] [] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.aop.framework.ProxyFactoryBean#0' of type [com.sun.proxy.$Proxy51] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:05.299 leos [main] [] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#724e82d9' of type [org.springframework.security.access.expression.method.ExpressionBasedAnnotationAttributeFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:05.309 leos [main] [] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#59cc46a4' of type [org.springframework.security.access.prepost.PrePostAnnotationSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:05.316 leos [main] [] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource#0' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:06.778 leos [main] [] INFO  o.s.u.f.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [Root WebApplicationContext: startup date [Thu Mar 17 21:07:02 GMT+02:00 2022]; root of context hierarchy] and template loader path [classpath:eu/europa/ec/leos/freemarker/templates/]
21:07:09.208 leos [main] [] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/api/secured/**'], [org.springframework.security.web.context.SecurityContextPersistenceFilter@73b6fbd1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@20961f8b, org.springframework.security.web.header.HeaderWriterFilter@7ff48cdc, eu.europa.ec.leos.api.auth.LeosApiAuthenticationFilter@4db8b888, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@46c85b61, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5d55eb7a, org.springframework.security.web.access.ExceptionTranslationFilter@36af93ca, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@51bab787]
21:07:09.324 leos [main] [] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.SecurityContextPersistenceFilter@39ae0bff, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@29e9d47b, org.springframework.security.web.header.HeaderWriterFilter@77d5c4c6, org.springframework.security.web.authentication.preauth.j2ee.J2eePreAuthenticatedProcessingFilter@6d921d6b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3ef85262, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@463a0302, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5bbda8aa, org.springframework.security.web.access.ExceptionTranslationFilter@4d7909bd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@228ed68c]
