23:01:19.949 leos [main] [] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
23:01:20.045 leos [main] [] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Mon Mar 28 23:01:20 GMT+02:00 2022]; root of context hierarchy
23:01:20.116 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/applicationContext.xml]
23:01:21.105 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/integrationContext.xml]
23:01:21.130 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/servicesContext.xml]
23:01:21.154 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/cmisContext.xml]
23:01:21.184 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/freemarker/freemarkerContext.xml]
23:01:21.204 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/xslt/xsltContext.xml]
23:01:21.256 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/securityContext.xml]
23:01:21.286 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/securityContext-common.xml]
23:01:21.322 leos [main] [] INFO  o.s.s.core.SpringSecurityCoreVersion - You are running with Spring Security Core 4.2.5.RELEASE
23:01:21.329 leos [main] [] INFO  o.s.s.c.SecurityNamespaceHandler - Spring Security 'config' module version is 4.2.5.RELEASE
23:01:21.412 leos [main] [] INFO  o.s.s.c.h.HttpSecurityBeanDefinitionParser - Checking sorted filter chain: [Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 200, Root bean: class [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 400, Root bean: class [org.springframework.security.web.header.HeaderWriterFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 500, <leosApiAuthenticationFilter>, order = 1001, Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.security.config.http.HttpConfigurationBuilder$SecurityContextHolderAwareRequestFilterBeanFactory#0; factoryMethodName=getBean; initMethodName=null; destroyMethodName=null, order = 1800, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2100, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2300, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0>, order = 2400]
23:01:21.415 leos [main] [] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'restAuthenticationEntryPoint' with a different definition: replacing [Generic bean: class [eu.europa.ec.leos.api.auth.RestAuthenticationEntryPoint]; scope=singleton; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/C:/Users/Ignas/Desktop/LEOS-Pilot_3.1.0/modules/web/target/leos-web-os/WEB-INF/lib/leos-security-3.1.0.jar!/eu/europa/ec/leos/api/auth/RestAuthenticationEntryPoint.class]] with [Generic bean: class [eu.europa.ec.leos.api.auth.RestAuthenticationEntryPoint]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [eu/europa/ec/leos/securityContext-common.xml]]
23:01:21.417 leos [main] [] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'leosApiAuthSuccessHandler' with a different definition: replacing [Generic bean: class [eu.europa.ec.leos.api.auth.LeosApiAuthSuccessHandler]; scope=singleton; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/C:/Users/Ignas/Desktop/LEOS-Pilot_3.1.0/modules/web/target/leos-web-os/WEB-INF/lib/leos-security-3.1.0.jar!/eu/europa/ec/leos/api/auth/LeosApiAuthSuccessHandler.class]] with [Generic bean: class [eu.europa.ec.leos.api.auth.LeosApiAuthSuccessHandler]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [eu/europa/ec/leos/securityContext-common.xml]]
